variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
ORC-SHADE[no-orc],10,3,8,0.0,31.7,0.0,0.0,2.0,0,2.6716406864579767e-11,0.0,0.0,0.0,0.0
ORC-SHADE,10,12,22,164.89754759195785,78.16,9.87,0.0,0.0,0,165.1042386623476,164.89754759195785,164.89754759195785,164.89754759195785,164.89754759195785
ORC-SHADE,10,12,19,164.47351934602648,79.61,10.68,0.0,0.0,0,164.47596134748846,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE,10,12,20,164.47351934602648,79.18,9.68,-0.6542,0.0,0,164.4740078381792,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE[no-orc],10,3,10,0.0,30.66,0.0,0.0,2.0,0,1.2505552149377763e-12,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,2,0.0,36.4,0.0,0.0,2.0,0,5.6843418860808015e-12,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,13,0.0,31.09,0.0,0.0,2.0,0,3.0468072509393096e-11,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,11,0.0,32.11,0.0,0.0,2.0,0,9.43600753089413e-12,0.0,0.0,0.0,0.0
ORC-SHADE,10,11,25,4.547473508864641e-13,105.2,9.01,0.0,0.0,0,5.603103136309073e-05,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
ORC-SHADE,10,11,1,4.547473508864641e-13,125.98,9.49,0.0,0.0,0,4.2210605897707865e-05,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13,4.547473508864641e-13
ORC-SHADE,10,12,24,166.38750694155897,80.49,11.49,-0.5,0.0,0,166.38800356016282,166.38750694155897,166.38750694155897,166.38750694155897,166.38750694155897
ORC-SHADE,10,7,24,3.365994416526519e-08,181.79,31.52,-0.5,0.0,2,18.606217087890172,6.11892627904399,0.3667720660037048,0.05679070687733656,3.365994416526519e-08
ORC-SHADE[no-orc],10,3,14,0.0,32.75,0.0,-0.0122,2.0,0,1.4779288903810084e-12,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,9,0.0,34.77,0.0,0.0,2.0,0,1.9326762412674725e-12,0.0,0.0,0.0,0.0
ORC-SHADE,10,12,27,166.38750694155897,81.07,11.44,0.0,0.0,0,166.38822813325032,166.38750694155897,166.38750694155897,166.38750694155897,166.38750694155897
