variant,func,seed,best_fit,elapsed_s,explore_pct
"E:km=0,pe=.05,k=15",9,0,0.0,63.37,10.69
"E:km=0,pe=.05,k=15",10,3,221.12205728252366,58.14,6.7
"E:km=0,pe=.05,k=15",10,1,220.8726497489797,59.35,6.83
"A:km=0,pe=.05,k=10",7,3,2.172100721509196e-09,175.26,30.91
"B:km=.05,pe=.05,k=10",7,3,1.5688783605583012e-11,177.78,34.3
"A:km=0,pe=.05,k=10",7,4,2.607771421025973e-07,178.76,26.54
"B:km=.05,pe=.05,k=10",7,1,6.320988177321851e-11,181.66,28.52
NL-SHADE,8,2,0.3000742232898119,182.1,
"E:km=0,pe=.05,k=15",6,4,0.49410554520591177,84.35,55.35
"B:km=.05,pe=.05,k=10",7,2,0.09430083520146582,187.99,22.05
"E:km=0,pe=.05,k=15",11,0,4.547473508864641e-13,70.3,10.75
"E:km=0,pe=.05,k=15",6,1,0.3608301605811448,87.71,57.38
"B:km=.05,pe=.05,k=10",8,0,0.03203543060544689,190.01,33.83
"E:km=0,pe=.05,k=15",11,2,0.0,69.68,10.33
"E:km=0,pe=.05,k=15",4,1,8.000160256172194,94.67,15.7
"A:km=0,pe=.05,k=10",7,0,0.021235027824559438,191.02,25.29
"E:km=0,pe=.05,k=15",11,1,0.0,71.25,11.62
"E:km=0,pe=.05,k=15",11,3,4.547473508864641e-13,68.88,10.81
"E:km=0,pe=.05,k=15",4,3,10.00000060182208,94.8,12.04
"E:km=0,pe=.05,k=15",11,4,4.547473508864641e-13,70.25,11.44
"A:km=0,pe=.05,k=10",8,3,0.3242237471235967,193.06,27.07
"C:km=0,pe=0,k=10",7,2,0.15375392480837036,150.44,32.79
"E:km=0,pe=.05,k=15",6,2,0.28647663470178486,93.17,57.02
"A:km=0,pe=.05,k=10",8,0,0.24058234681433532,194.32,27.9
"B:km=.05,pe=.05,k=10",8,2,0.010431678116674448,194.83,47.85
"A:km=0,pe=.05,k=10",8,4,0.321385754439234,195.9,44.7
"A:km=0,pe=.05,k=10",8,1,0.22596569631514285,197.38,31.98
"E:km=0,pe=.05,k=15",12,2,164.89754759195785,75.12,10.95
"E:km=0,pe=.05,k=15",4,4,16.000001123803713,100.24,15.4
"E:km=0,pe=.05,k=15",4,0,6.000000344549335,103.31,14.91
"C:km=0,pe=0,k=10",7,3,0.026453062095242785,154.94,30.63
"E:km=0,pe=.05,k=15",6,0,0.42418005317404095,99.94,60.39
"E:km=0,pe=.05,k=15",6,3,0.49046541861048354,98.16,55.42
"E:km=0,pe=.05,k=15",12,1,165.46842172031893,77.8,11.15
"E:km=0,pe=.05,k=15",12,4,166.38750694155897,77.1,12.24
"D:km=0,pe=.05,k=7",7,0,2.2851736503071152e-08,130.6,29.25
"E:km=0,pe=.05,k=15",12,0,165.46842172031938,79.34,13.77
"D:km=0,pe=.05,k=7",7,3,0.015583024479383312,130.9,26.93
"D:km=0,pe=.05,k=7",7,4,1.5916157281026244e-11,130.07,35.95
"D:km=0,pe=.05,k=7",7,2,1.36196831590496e-10,131.96,30.17
"E:km=0,pe=.05,k=15",12,3,164.47351934602648,81.07,14.55
"C:km=0,pe=0,k=10",7,1,2.09502104553394e-09,164.75,29.14
"A:km=0,pe=.05,k=10",7,1,3.9697169995633885e-09,210.35,29.82
"B:km=.05,pe=.05,k=10",8,1,0.27616530800469263,214.4,26.72
"B:km=.05,pe=.05,k=10",8,4,0.2808205125411405,220.36,25.52
"D:km=0,pe=.05,k=7",7,1,7.660446499357931e-09,152.74,29.31
"C:km=0,pe=0,k=10",8,0,0.3349949847656717,181.04,28.53
"C:km=0,pe=0,k=10",7,4,9.463519745622762e-09,181.53,29.25
"C:km=0,pe=0,k=10",8,3,0.15032071469886432,183.92,28.47
"A:km=0,pe=.05,k=10",8,2,0.20633983911875475,229.53,29.7
"C:km=0,pe=0,k=10",7,0,0.18876450316452065,189.73,29.55
"B:km=.05,pe=.05,k=10",8,3,0.1268994150573235,230.22,26.99
"D:km=0,pe=.05,k=7",8,4,0.3846027504519043,159.67,30.89
"D:km=0,pe=.05,k=7",8,3,0.2253517737922266,162.46,29.17
"C:km=0,pe=0,k=10",8,1,0.2798641455615325,193.5,29.89
"D:km=0,pe=.05,k=7",8,1,0.3185100630280431,165.26,25.66
"D:km=0,pe=.05,k=7",8,2,0.22764399903553567,165.33,29.3
"D:km=0,pe=.05,k=7",8,0,0.3898428284237525,166.07,30.27
"C:km=0,pe=0,k=10",8,4,0.274397567583037,193.97,31.39
"C:km=0,pe=0,k=10",8,2,0.3139831752268947,210.01,25.53
"E:km=0,pe=.05,k=15",7,2,0.006934959279760733,161.08,26.4
"E:km=0,pe=.05,k=15",7,4,2.0766349962286768e-05,163.03,24.82
"E:km=0,pe=.05,k=15",7,1,3.975242179876659e-08,166.06,24.77
"E:km=0,pe=.05,k=15",7,3,6.7111614043824375e-09,165.86,24.61
"E:km=0,pe=.05,k=15",7,0,4.433786671143025e-11,168.42,23.87
"E:km=0,pe=.05,k=15",8,0,0.14348966072839175,189.89,25.4
"E:km=0,pe=.05,k=15",8,1,0.2862306630022431,192.46,29.78
"E:km=0,pe=.05,k=15",8,3,0.15194772219092556,191.11,24.82
"E:km=0,pe=.05,k=15",8,2,0.34031297920773795,193.39,45.76
"E:km=0,pe=.05,k=15",8,4,0.13835846255460638,195.91,42.7
