algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
ORC-RE,cifar10,200,23,98.9577,1.0423,200,45.9,False
ORC-RE,cifar10,200,25,89.9837,10.0163,200,48.646,False
ORC-RE,cifar10,200,91,80.0663,19.9337,200,41.501,False
ORC-RE,cifar10,200,51,98.9577,1.0423,200,49.696,False
ORC-RE,cifar10,200,12,89.9837,10.0163,200,51.375,False
ORC-RE,cifar10,200,70,80.0663,19.9337,200,49.473,False
ORC-RE,cifar10,200,75,80.0663,19.9337,200,49.595,False
ORC-RE,cifar10,200,6,80.0663,19.9337,200,54.627,False
ORC-RE,cifar10,200,13,98.9577,1.0423,200,54.964,False
ORC-RE,cifar10,200,74,82.0162,17.9838,200,51.425,False
ORC-RE,cifar10,200,3,80.0663,19.9337,200,57.681,False
ORC-RE,cifar10,200,98,89.9837,10.0163,200,45.089,False
ORC-RE,cifar10,200,89,82.0162,17.9838,200,51.679,False
ORC-RE,cifar10,200,93,80.0663,19.9337,200,52.331,False
ORC-RE,cifar10,200,11,82.0162,17.9838,200,60.279,False
ORC-RE,cifar10,200,82,98.9577,1.0423,200,55.318,False
ORC-RE,cifar10,200,42,89.9837,10.0163,200,61.339,False
ORC-RE,cifar10,200,64,80.0663,19.9337,200,58.984,False
ORC-RE,cifar10,200,36,89.9837,10.0163,200,64.001,False
ORC-RE,cifar10,200,86,80.0663,19.9337,200,57.99,False
ORC-RE,cifar10,200,32,80.0663,19.9337,200,64.255,False
ORC-RE,cifar10,200,69,98.9577,1.0423,200,61.328,False
ORC-RE,cifar10,200,37,80.0663,19.9337,200,64.897,False
ORC-RE,cifar10,200,8,80.0663,19.9337,200,65.107,False
ORC-RE,cifar10,200,54,80.0663,19.9337,200,64.08,False
ORC-RE,cifar10,200,68,82.0162,17.9838,200,62.26,False
ORC-RE,cifar10,200,92,82.0162,17.9838,200,58.793,False
ORC-RE,cifar10,200,79,98.9577,1.0423,200,61.12,False
ORC-RE,cifar10,200,1,82.0162,17.9838,200,66.509,False
ORC-RE,cifar10,200,80,82.0162,17.9838,200,61.202,False
ORC-RE,cifar10,200,52,98.9577,1.0423,200,66.041,False
ORC-RE,cifar10,200,31,80.0663,19.9337,200,69.676,False
ORC-RE,cifar10,200,15,82.0162,17.9838,200,70.205,False
ORC-RE,cifar10,200,58,80.0663,19.9337,200,68.291,False
ORC-RE,cifar10,200,21,82.0162,17.9838,200,71.559,False
ORC-RE,cifar10,200,43,89.9837,10.0163,200,71.705,False
ORC-RE,cifar10,200,60,80.0663,19.9337,200,70.851,False
ORC-RE,cifar10,200,49,80.0663,19.9337,200,72.91,False
ORC-RE,cifar10,200,61,82.0162,17.9838,200,71.211,False
ORC-RE,cifar10,200,87,80.0663,19.9337,200,69.059,False
ORC-RE,cifar10,200,81,82.0162,17.9838,200,75.156,False
ORC-RE,cifar10,200,26,80.0663,19.9337,200,79.975,False
ORC-RE,cifar10,200,59,89.9837,10.0163,200,78.584,False
ORC-RE,cifar10,200,44,98.9577,1.0423,200,81.31,False
ORC-RE,cifar10,200,18,82.0162,17.9838,200,82.107,False
ORC-RE,cifar10,200,88,82.0162,17.9838,200,76.202,False
ORC-RE,cifar10,200,56,89.9837,10.0163,200,82.307,False
ORC-RE,cifar10,200,85,80.0663,19.9337,200,78.724,False
ORC-RE,cifar10,200,7,80.0663,19.9337,200,85.567,False
ORC-RE,cifar10,200,38,82.0162,17.9838,200,85.3,False
ORC-RE,cifar10,200,67,80.0663,19.9337,200,82.292,False
ORC-RE,cifar10,200,41,80.0663,19.9337,200,87.792,False
ORC-RE,cifar10,200,62,82.0162,17.9838,200,91.455,False
ORC-RE,cifar10,200,9,89.9837,10.0163,200,95.71,False
